COUNTER;NAME    ;GRUPPE  ;NUMMER  ;GERAET  ;Temp;FehlerNr;PRIO    ;BESCHREIBUNG;URSACHE ;BEMERK. ;LEVEL   ;SW-VERS ;REAKT.  ;QUIT    ;ABHILFE ;KUERZEL ;Vari_Nr;ET;;;;;;;;;;;;;;;;;;;;
173;"Zw.-Kr.: Vers.-Spng. zu klein
";"22
";"92
";"A
";"2292
";A2292;"0
";Intermediate circuit voltage error;The intermediate circuit voltage is < 13 V, and the required traction strength of the contactor is therefore no longer sufficient.;"
";"SERV1
";"ab 0.01
";The contactor is opened;;Check the intermediate circuit voltage;"AnFi
";"ERR_HSK_Untersp_Schuetz_185
";;;;;;;;;;;;;;;;;;;;;
172;"Klebefehler Hauptschuetz
";"22
";"95
";"A
";;A2295;"16
";Main contactor error;Contactor does not disconnect correctly (contactor contact jams);"Fehler koennen bei Download SR-Software auftreten
";"NORM
";"
";Drive unit and hydraulic drive disabled;Key switch;Check contactor.;"Shli
";"ERR_HSK_hs_klebt_186
";;;;;;;;;;;;;;;;;;;;;
188;"Buffer geplatzt 2
";"23
";"03
";"A
";;A2303;"0
";Error memory overloaded;Error memory is too full;"128 Fehler koennen zwischengespeichert werden, solange die Anzeige
keine neue Darstellung zulaesst (der Fahrer nicht quittiert).
Nicht alle Fehler werden angezeigt
";"SERV1
";"ab 0.01
";;Key switch;Delete error list.;"We
";"ERR_FMA_ErrBuf_202
";;;;;;;;;;;;;;;;;;;;;
193;"DOD-Tabelle inkompatibel
";"24
";"03
";"A
";;A2403;"0
";ABE software version not compatible;ABE SW version is incompatible with the MCU SW;"Ab der MCU-SW-Version V0.61:
Dieser Fehler wird auch gemeldet, wenn der Parameter Adresse A 0 277
auf ABE2 eingestellt ist und im Fahrzeug eine ABE1 verbaut ist.
ABE verharrt in der Begruessungsanzeige,
bei neuerer ABE-SW (>1.21) wird die sogenannte Zebra-View angezeigt
";"SERV1
";"ab 0.59
";;Key switch;Flash the truck software.;"AW
";"ERR_ABE_DODKOMP_207
";;;;;;;;;;;;;;;;;;;;;
233;"Konfiguration ABE-Typ
";"24
";"04
";"A
";;A2404;"0
";ABE type configuration;Configured ABE type does not correspond to the ABE type fitted;"kein Umschalten in die Standardview
";"SERV1
";"ab 1.00
";;Key switch;Reset ABE configuration to correct ABE type;"R+T/aw
";"ERR_ABE_TYP_247
";;;;;;;;;;;;;;;;;;;;;
334;"allgemeiner Stellerfehler 1
";"25
";"01
";"A
";;A2501;"16
";Lifting valve faulty;Lifting valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab V1.00
";Working hydraulics not active;Key switch;Check lifting valve and wiring, replacing if necessary.;"De
";"ERR_VR_HUB_UEBSTR_POS_406
";;;;;;;;;;;;;;;;;;;;;
335;"Stellerf.1: Kurzschluss Steller
";"25
";"04
";"A
";;A2504;"16
";Lifting valve short circuit;Lifting valve has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab V0.01
";The affected valve is blocked;Key switch;Check lifting valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_HUB_KS_POS_407
";;;;;;;;;;;;;;;;;;;;;
336;"Stellerf.1: Abriss Aktor
";"25
";"05
";"A
";;A2505;"16
";Lifting valve breakdown;Lifting valve has broken down. The breakdown test at device startup detected a breakdown on this valve.;"----
";"SERV1
";"ab V0.01
";The affected valve is blocked;Key switch;Check lifting valve and wiring, replacing if necessary.;"De
";"ERR_VR_HUB_ABRISS_POS_408
";;;;;;;;;;;;;;;;;;;;;
337;"allgemeiner Stellerfehler 2
";"25
";"06
";"A
";;A2506;"16
";Lowering valve faulty;Lowering valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab V0.01
";Working hydraulics not active;Key switch;Check lowering valve and wiring, replacing if necessary.;"De
";"ERR_VR_HUB_UEBSTR_NEG_409
";;;;;;;;;;;;;;;;;;;;;
338;"Stellerf.2: Kurzschluss Steller
";"25
";"09
";"A
";;A2509;"16
";Lowering valve short circuit;Lowering valve has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check lowering valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_HUB_KS_NEG_410
";;;;;;;;;;;;;;;;;;;;;
339;"Stellerf.2: Abriss Aktor
";"25
";"10
";"A
";;A2510;"16
";Lowering valve breakdown;Lowering valve has broken down. The breakdown test at device startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check lowering valve and wiring, replacing if necessary.;"De
";"ERR_VR_HUB_ABRISS_NEG_411
";;;;;;;;;;;;;;;;;;;;;
340;"allgemeiner Stellerfehler 3
";"25
";"11
";"A
";;A2511;"16
";Tilt valve faulty;Forwards tilt valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check tilt valve and wiring, replacing if necessary.;"De
";"ERR_VR_NEIG_UEBSTR_POS_416
";;;;;;;;;;;;;;;;;;;;;
341;"Stellerf.3: Kurzschluss Steller
";"25
";"14
";"A
";;A2514;"16
";Tilt valve short circuit;Forwards tilt valve has a short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check tilt valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_NEIG_KS_POS_417
";;;;;;;;;;;;;;;;;;;;;
342;"Stellerf.3: Abriss Aktor
";"25
";"15
";"A
";;A2515;"16
";Tilt valve breakdown;Forwards tilt valve has broken down. The breakdown test at truck startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check tilt valve and wiring, replacing if necessary.;"De
";"ERR_VR_NEIG_ABRISS_POS_418
";;;;;;;;;;;;;;;;;;;;;
343;"allgemeiner Stellerfehler 4
";"25
";"16
";"A
";;A2516;"16
";General controller error 4;Backwards tilt valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check tilt valve and wiring, replacing if necessary.;"De
";"ERR_VR_NEIG_UEBSTR_NEG_419
";;;;;;;;;;;;;;;;;;;;;
344;"Stellerf.4: Kurzschluss Steller
";"25
";"19
";"A
";;A2519;"16
";Tilt valve short circuit;Backwards tilt valve has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check tilt valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_NEIG_KS_NEG_420
";;;;;;;;;;;;;;;;;;;;;
345;"Stellerf.4: Abriss Aktor
";"25
";"20
";"A
";;A2520;"16
";Tilt valve breakdown;Backwards tilt valve has broken down. The breakdown test at truck startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check tilt valve and wiring, replacing if necessary.;"De
";"ERR_VR_NEIG_ABRISS_NEG_421
";;;;;;;;;;;;;;;;;;;;;
346;"allgemeiner Stellerfehler 5
";"25
";"21
";"A
";;A2521;"16
";Error in auxiliary 1 valve;Auxiliary 1 positive valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check auxiliary 1 valve and wiring, replacing if necessary.;"De
";"ERR_VR_Z1_UEBSTR_POS_426
";;;;;;;;;;;;;;;;;;;;;
347;"Stellerf.5: Kurzschluss Steller
";"25
";"24
";"A
";;A2524;"16
";Auxiliary 1 valve short circuit;Auxiliary 1 positive valve has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check auxiliary 1 valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_Z1_KS_POS_427
";;;;;;;;;;;;;;;;;;;;;
348;"Stellerf.5: Abriss Aktor
";"25
";"25
";"A
";;A2525;"16
";Auxiliary 1 valve breakdown;Auxiliary 1 positive valve has broken down. The breakdown test at truck startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check auxiliary 1 valve and wiring, replacing if necessary.;"De
";"ERR_VR_Z1_ABRISS_POS_428
";;;;;;;;;;;;;;;;;;;;;
349;"allgemeiner Stellerfehler 6
";"25
";"26
";"A
";;A2526;"16
";Error in auxiliary 1 valve;Auxiliary 1 negative valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check auxiliary 1 valve and wiring, replacing if necessary.;"De
";"ERR_VR_Z1_UEBSTR_NEG_429
";;;;;;;;;;;;;;;;;;;;;
350;"Stellerf.6: Kurzschluss Steller
";"25
";"29
";"A
";;A2529;"16
";Auxiliary 1 valve short circuit;Auxiliary 1 negative valve has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check auxiliary 1 valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_Z1_KS_NEG_430
";;;;;;;;;;;;;;;;;;;;;
351;"Stellerf.6: Abriss Aktor
";"25
";"30
";"A
";;A2530;"16
";Auxiliary 1 valve breakdown;Auxiliary 1 negative valve has broken down. The breakdown test at truck startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check auxiliary 1 valve and wiring, replacing if necessary.;"De
";"ERR_VR_Z1_ABRISS_NEG_431
";;;;;;;;;;;;;;;;;;;;;
352;"allgemeiner Stellerfehler 7
";"25
";"31
";"A
";;A2531;"16
";Error in auxiliary 2 valve;Auxiliary 2 positive valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check auxiliary 2 valve and wiring, replacing if necessary.;"De
";"ERR_VR_Z2_UEBSTR_POS_436
";;;;;;;;;;;;;;;;;;;;;
353;"Stellerf.7: Kurzschluss Steller
";"25
";"34
";"A
";;A2534;"16
";Auxiliary 2 valve short circuit;Auxiliary 2 positive valve has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check auxiliary 2 valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_Z2_KS_POS_437
";;;;;;;;;;;;;;;;;;;;;
354;"Stellerf.7: Abriss Aktor
";"25
";"35
";"A
";;A2535;"16
";Auxiliary 2 valve breakdown;Auxiliary 2 positive valve has broken down. The breakdown test at device startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check auxiliary 2 valve and wiring, replacing if necessary.;"De
";"ERR_VR_Z2_ABRISS_POS_438
";;;;;;;;;;;;;;;;;;;;;
355;"allgemeiner Stellerfehler 8
";"25
";"36
";"A
";;A2536;"16
";Error in auxiliary 2 valve;Auxiliary 2 negative valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check auxiliary 2 valve and wiring, replacing if necessary.;"De
";"ERR_VR_Z2_UEBSTR_NEG_439
";;;;;;;;;;;;;;;;;;;;;
356;"Stellerf.8: Kurzschluss Steller
";"25
";"39
";"A
";;A2539;"16
";Auxiliary 2 valve short circuit;Auxiliary 2 negative valve has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check auxiliary 2 valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_Z2_KS_NEG_440
";;;;;;;;;;;;;;;;;;;;;
357;"Stellerf.8: Abriss Aktor
";"25
";"40
";"A
";;A2540;"16
";Auxiliary 2 valve breakdown;Auxiliary 2 negative valve has broken down. The breakdown test at truck startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check auxiliary 2 valve and wiring, replacing if necessary.;"De
";"ERR_VR_Z2_ABRISS_NEG_441
";;;;;;;;;;;;;;;;;;;;;
358;"allgemeiner Stellerfehler 9
";"25
";"41
";"A
";;A2541;"16
";Switch valve error;Switch valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check switch valve and wiring, replacing if necessary.;"De
";"ERR_VR_USCHLT_UEBSTR_446
";;;;;;;;;;;;;;;;;;;;;
359;"Stellerf.9: Kurzschluss Steller
";"25
";"44
";"A
";;A2544;"16
";Switch valve short circuit;Switch valve has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check switch valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_USCHLT_KS_447
";;;;;;;;;;;;;;;;;;;;;
360;"Stellerf.9: Abriss Aktor
";"25
";"45
";"A
";;A2545;"16
";Switch valve breakdown;Switch valve has broken down. The breakdown test at truck startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check switch valve and wiring, replacing if necessary.;"De
";"ERR_VR_USCHLT_ABRISS_448
";;;;;;;;;;;;;;;;;;;;;
361;"allgemeiner Stellerfehler 10
";"25
";"46
";"A
";;A2546;"16
";Exhaust valve error;Exhaust valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check exhaust valve and wiring, replacing if necessary.;"De
";"ERR_VR_FREIG_UEBSTR_456
";;;;;;;;;;;;;;;;;;;;;
362;"Stellerf.10: Kurzschluss Steller
";"25
";"49
";"A
";;A2549;"16
";Exhaust valve short circuit;Exhaust valve has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check exhaust valve and wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_FREIG_KS_457
";;;;;;;;;;;;;;;;;;;;;
363;"Stellerf.10: Abriss Aktor
";"25
";"50
";"A
";;A2550;"16
";Exhaust valve breakdown;Exhaust valve has broken down. The breakdown test at device startup detected a breakdown on this valve.;"-----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check exhaust valve and wiring, replacing if necessary.;"De
";"ERR_VR_FREIG_ABRISS_458
";;;;;;;;;;;;;;;;;;;;;
364;"allgemeiner Stellerfehler 11
";"25
";"51
";"A
";;A2551;"16
";Error in valve for energy recovery on lowering;Valve for energy recovery on lowering taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check valve for energy recovery on lowering and check wiring, replacing if necessary.;"De
";"ERR_VR_NUTZSENK_UEBSTR_466
";;;;;;;;;;;;;;;;;;;;;
365;"Stellerf.11: Kurzschluss Steller
";"25
";"54
";"A
";;A2554;"16
";Short circuit in valve for energy recovery on lowering;Valve for energy recovery on lowering has short circuit. The short circuit test at truck startup detected a short circuit. Collective hardware message: LOCK;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check valve for energy recovery on lowering and check wiring, replacing if necessary. Try fitting valve plug to adjacent valve to find the faulty component.;"De
";"ERR_VR_NUTZSENK_KS_467
";;;;;;;;;;;;;;;;;;;;;
366;"Stellerf.11: Abriss Aktor
";"25
";"55
";"A
";;A2555;"16
";Breakdown of valve for energy recovery on lowering;Valve for energy recovery on lowering has broken down. The breakdown test at device startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.01
";The affected valve is blocked;Key switch;Check valve for energy recovery on lowering and check wiring, replacing if necessary.;"De
";"ERR_VR_NUTZSENK_ABRISS_468
";;;;;;;;;;;;;;;;;;;;;
292;"allgemeiner Stellerfehler 13
";"25
";"61
";"A
";"2561
";A2561;"0
";Lowering valve error;Lowering valve taking excess current. The current in the valve is over 2 A.;"----
";"SERV1
";"ab 0.10
";;;Check lowering valve and wiring, replacing if necessary.;"EE/MSch
";"ERR_ISO_UEBSTR_353
";;;;;;;;;;;;;;;;;;;;;
293;"Stellerf.13: Abriss Aktor
";"25
";"65
";"A
";"2565
";A2565;"0
";Lowering valve breakdown;Lowering valve has broken down. The breakdown test at device startup detected a breakdown on this valve.;"----
";"SERV1
";"ab 0.10
";The affected valve is blocked;Key switch;Check lowering valve and wiring, replacing if necessary.;"EE/MSch
";"ERR_ISO_ABRISS_354
";;;;;;;;;;;;;;;;;;;;;
300;"Sammelf. Komm. zu anderen Ger.en
";"26
";"00
";"A
";;A2600;"0
";CAN bus and joystick error;CAN communication with joystick disrupted after communication had started up. Possible loose connection in CAN connection or supply to joystick.;"Fehler Netzwerkwatchdog (180ms)
";"SERV1
";"
";Working hydraulics not active;Automatically if error is rectified;Check CAN bus and the plug to joystick. Replace joystick if necessary.;"De
";"ERR_UE_NWM_WD_356
";;;;;;;;;;;;;;;;;;;;;
207;"Komm. zum Batt.controller
";"26
";"01
";"A
";;A2601;"0
";Battery controller communication error;Control unit detects a communication timeout for the battery controller;"Es wird die Restladung des STILL-Entladeanzeigers angezeigt.
Der Steuerrechner versucht zyklisch die Kommunikation zum
Batteriecontroller wieder herzustellen.
";"SERV1
";"ab 0.39
";;;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_BCD_BC_221
";;;;;;;;;;;;;;;;;;;;;
310;"Anlauf NWM
";"26
";"03
";"A
";;A2603;"0
";CAN bus and joystick error;CAN communication with joystick disrupted after communication had started up. Possible loose connection in CAN connection or supply to joystick.;"----
";"SERV1
";"
";Working hydraulics not active;Automatically if error is rectified;Check CAN bus and the plug to joystick. Replace joystick if necessary.;"De
";"ERR_UE_NWM_WD_AN_375
";;;;;;;;;;;;;;;;;;;;;
299;"Startnachricht Joystick fehlt
";"26
";"21
";"A
";;A2621;"0
";CAN bus and joystick error;Joystick does not send start message via CAN;"Geraet laeuft nicht hoch, Ventilsteuerung nicht moeglich
";"SERV1
";"
";Working hydraulics not active;Key switch;Check CAN bus and the plug to joystick. Replace joystick if necessary.;"De
";"ERR_UE_JOY_Startnachr_355
";;;;;;;;;;;;;;;;;;;;;
301;"WD Sollwertg. Nachricht auf SR
";"26
";"22
";"A
";;A2622;"0
";CAN bus and joystick error;CAN communication with joystick disrupted after communication had started up. Possible loose connection in CAN connection or supply to joystick.;"---
";"SERV1
";"
";Working hydraulics not active;Automatically if error is rectified;Check CAN bus and the plug to joystick. Replace joystick if necessary.;"De
";"ERR_UE_JOY_WD_357
";;;;;;;;;;;;;;;;;;;;;
327;"WD Sollwertg. Nachricht auf VR
";"26
";"24
";"A
";;A2624;"0
";CAN bus and joystick error;CAN communication with joystick disrupted after communication had started up. Possible loose connection in CAN connection or supply to joystick.;"---
";"SERV1
";"ab V1.00
";Working hydraulics not active;Key switch;Check CAN bus and the plug to joystick. Replace joystick if necessary.;"De
";"ERR_VR_KOMM_SWG_396
";;;;;;;;;;;;;;;;;;;;;
236;"Falscher Modemtyp konfiguriert.
";"26
";"50
";"A
";;A2650;"0
";Wrong modem type configured.;The GPRS or WLAN modem type parameter is set incorrectly.;"Keine DFÜ-Kommunikation.
";"SERV1
";"ab 1.00
";;Key switch;Correct the modem type parameter.;"Vo, ReS
";"ERR_MOK_Modemtyp_250
";;;;;;;;;;;;;;;;;;;;;
